customer_id,age,annual_income,debt_to_income,credit_utilization,num_open_accounts,delinquency_count,loan_amount,employment_years
base-001,29,52000,0.22,0.31,4,0,9000,3
base-002,42,88000,0.18,0.27,7,0,15000,10
base-003,36,64000,0.29,0.35,5,1,12000,6
base-004,51,112000,0.16,0.21,8,0,18000,14
base-005,33,58000,0.34,0.44,4,1,10000,5
base-006,47,96000,0.19,0.25,9,0,20000,12
base-007,27,49000,0.28,0.39,3,0,8000,2
base-008,39,73000,0.24,0.33,6,1,13000,8
base-009,45,105000,0.17,0.22,10,0,22000,15
base-010,31,61000,0.27,0.36,5,0,11000,4
base-011,54,120000,0.14,0.19,11,0,25000,18
base-012,38,69000,0.25,0.34,6,1,14000,7
base-013,41,81000,0.21,0.28,7,0,16000,9
base-014,35,67000,0.26,0.37,5,1,12500,6
base-015,49,98000,0.18,0.24,8,0,21000,13
